Row ID,Year,Department Title,Payroll Department,Record Number,Job Class Title,Employment Type,Hourly or Event Rate,Projected Annual Salary,Q1 Payments,Q2 Payments,Q3 Payments,,,,,,
117524,2015,Airports (LAWA),0101,2997986513,Airport Guide I,Part Time,$20.70 ,"$43,221.60 ","$8,652.39 ","$10,702.07 ","$10,135.65 ",,,,,,
117528,2015,Airports (LAWA),0101,1205518160,Airport Guide I,Part Time,$20.70 ,"$43,221.60 ","$9,014.64 ","$10,220.70 ","$10,044.75 ",,,,,,
117529,2015,Airports (LAWA),0101,1216440389,Airport Guide I,Part Time,$20.70 ,"$43,221.60 ","$8,648.68 ","$10,104.60 ","$10,248.47 ",,,,,,
55285,2013,Water And Power (DWP),,1421484220,Security Officer,Full Time,,"$61,449.84 ","$18,587.89 ","$17,518.41 ","$16,018.05 ",,,,,,
228454,2016,Airports (LAWA),0101,839877904,Accountant II,Full Time,$35.52 ,"$74,165.76 ","$19,891.20 ","$17,603.66 ",$0.00 ,,,,,,
228455,2016,Airports (LAWA),0101,954749265,Accountant II,Full Time,$35.52 ,"$74,165.76 ","$19,891.20 ","$17,603.66 ",$0.00 ,,,,,,
228456,2016,Airports (LAWA),0101,4083291882,Accountant II,Full Time,$34.57 ,"$72,182.16 ","$20,155.14 ","$17,059.43 ",$0.00 ,,,,,,
10569,2013,Fire (LAFD),3001,2339020700,Firefighter III,Full Time,$36.38 ,"$75,962.19 ","$27,369.10 ","$29,644.51 ","$32,344.51 ",,,,,,
228457,2016,Airports (LAWA),0101,3324134659,Accountant II,Full Time,$24.30 ,"$50,738.40 ",$0.00 ,"$5,832.00 ",$0.00 ,,,,,,
55318,2013,Water And Power (DWP),,668227319,Water Treatment Operator,Full Time,,"$87,090.48 ","$17,565.57 ","$19,125.44 ","$15,216.97 ",,,,,,
94378,2014,Recreation And Parks,7901,1267711220,Recreation Facility Director,Full Time,$37.06 ,"$77,379.45 ","$20,401.62 ","$22,450.09 ","$19,454.09 ",,,,,,
89076,2014,Public Works - Contract Administration,6001,3983613169,Construction Inspector,Full Time,$45.82 ,"$95,675.81 ","$26,678.38 ","$36,000.21 ","$23,365.35 ",,,,,,
1664,2013,Airports (LAWA),0101,4085134226,Security Officer,Full Time,$27.58 ,"$57,581.30 ","$19,152.84 ","$21,138.27 ","$17,643.25 ",,,,,,
76378,2014,Police (LAPD),4301,3720939799,Police Detective II,Full Time,$54.22 ,"$113,211.36 ","$25,809.20 ","$30,660.00 ","$30,758.61 ",,,,,,
66336,2014,Fire (LAFD),3001,1001905785,Firefighter III,Full Time,$37.24 ,"$77,748.17 ","$34,731.99 ","$46,131.80 ","$37,199.83 ",,,,,,
50804,2013,Water And Power (DWP),,3355557235,Principal Security Officer,Full Time,,"$81,160.56 ","$25,945.24 ","$26,367.03 ","$31,629.94 ",,,,,,
228458,2016,Airports (LAWA),0101,410382351,Accountant II,Full Time,$35.52 ,"$74,165.76 ","$19,891.20 ","$17,603.66 ",$0.00 ,,,,,,
106720,2014,Water And Power (DWP),,4134978801,Instrument Mechanic,Full Time,,"$99,200.88 ","$31,212.16 ","$30,963.22 ","$31,554.11 ",,,,,,
106627,2014,Water And Power (DWP),,18507133,Electrical Engineering Associate,Full Time,,"$120,582.00 ","$31,400.50 ","$32,540.00 ","$32,490.00 ",,,,,,
25461,2013,Police (LAPD),4302,3737347168,Police Service Representative III,Full Time,$45.93 ,"$95,902.36 ","$21,826.32 ","$25,464.04 ","$22,349.01 ",,,,,,
29133,2013,Police (LAPD),4301,1856148268,Police Officer II,Full Time,$38.38 ,"$80,137.44 ","$17,946.15 ","$21,319.72 ","$19,762.52 ",,,,,,
117536,2015,Airports (LAWA),0101,2149824116,Administrative Clerk,Part Time,$19.65 ,"$41,029.20 ","$8,579.21 ","$10,151.07 ","$10,206.90 ",,,,,,
117538,2015,Airports (LAWA),0101,1893738740,Airport Guide I,Part Time,$20.70 ,"$43,221.60 ","$8,857.14 ","$10,073.55 ","$9,856.20 ",,,,,,
79666,2014,Police (LAPD),4301,83636539,Police Detective I,Full Time,$53.26 ,"$111,211.32 ","$25,115.29 ","$29,826.79 ","$26,710.66 ",,,,,,
85964,2014,Police (LAPD),4302,240439181,Senior Clerk Typist,Full Time,$32.62 ,"$68,103.77 ","$17,688.61 ","$20,418.08 ","$16,047.44 ",,,,,,
108249,2014,Water And Power (DWP),,603245531,Utility Buyer,Full Time,,"$97,092.00 ","$27,058.39 ","$28,093.27 ","$28,912.64 ",,,,,,
85426,2014,Police (LAPD),4302,1909221294,Equipment Mechanic,Full Time,$36.92 ,"$77,097.57 ","$18,254.65 ","$24,352.21 ","$19,174.69 ",,,,,,
11239,2013,Fire (LAFD),3001,4266654641,Firefighter III,Full Time,$36.50 ,"$76,208.27 ","$24,652.36 ","$28,444.08 ","$25,194.60 ",,,,,,
27243,2013,Police (LAPD),4301,4173213494,Police Officer II,Full Time,$43.19 ,"$90,180.72 ","$20,846.52 ","$23,760.80 ","$21,943.38 ",,,,,,
28155,2013,Police (LAPD),4301,4153503694,Police Officer II,Full Time,$42.77 ,"$89,303.76 ","$19,042.40 ","$22,299.20 ","$20,658.98 ",,,,,,
105218,2014,Water And Power (DWP),,1853317769,Construction Electrical Mechanic,Full Time,,"$82,893.60 ","$30,508.15 ","$41,912.64 ","$36,155.58 ",,,,,,
70849,2014,Harbor (Port of LA),3201,3127627447,Graphics Designer II,Full Time,$35.34 ,"$73,789.92 ","$16,507.20 ","$19,258.40 ","$16,887.20 ",,,,,,
69106,2014,General Services,4401,2749462694,Pre-Press Operator II,Full Time,$43.25 ,"$90,297.39 ","$21,480.09 ","$25,031.33 ","$20,344.97 ",,,,,,
75726,2014,Police (LAPD),4301,1195966754,Police Detective I,Full Time,$53.14 ,"$110,956.32 ","$39,743.35 ","$42,134.13 ","$40,427.92 ",,,,,,
7079,2013,City Planning And Development (DCP),4201,3310653613,City Planner,Full Time,$51.90 ,"$108,367.20 ","$26,140.21 ","$28,632.80 ","$24,850.40 ",,,,,,
117544,2015,Airports (LAWA),0101,228059223,Airport Guide I,Part Time,$20.70 ,"$43,221.60 ","$8,599.93 ","$9,897.60 ","$9,939.00 ",,,,,,
28565,2013,Police (LAPD),4301,1069474109,Police Officer II,Full Time,$41.52 ,"$86,693.76 ","$19,227.00 ","$21,694.60 ","$20,720.90 ",,,,,,
85672,2014,Police (LAPD),4301,2532482362,Police Officer II,Full Time,$41.73 ,"$87,132.24 ","$18,572.59 ","$18,527.95 ","$18,525.39 ",,,,,,
55872,2013,Water And Power (DWP),,3882000116,Construction Welder,Full Time,,"$92,414.88 ","$8,144.85 ","$44,882.77 ",$0.00 ,,,,,,
56435,2013,Water And Power (DWP),,1678068584,Plumber,Full Time,,"$94,356.72 ","$3,615.84 ","$8,436.96 ","$2,711.88 ",,,,,,
26706,2013,Police (LAPD),4301,1446464452,Police Officer II,Full Time,$41.94 ,"$87,570.72 ","$20,759.96 ","$23,314.40 ","$21,996.51 ",,,,,,
86812,2014,Police (LAPD),4302,1258629192,Senior Clerk Typist,Full Time,$31.77 ,"$66,328.45 ","$15,392.97 ","$18,089.24 ","$15,547.92 ",,,,,,
5182,2013,City Attorney,1202,2465363665,Deputy City Attorney III,Full Time,$78.04 ,"$162,944.13 ","$36,146.48 ","$37,965.69 ","$36,717.06 ",,,,,,
86123,2014,Police (LAPD),4302,2710239343,Crime and Intelligence Analyst I,Full Time,$36.35 ,"$75,898.80 ","$16,977.60 ","$19,810.40 ","$17,256.45 ",,,,,,
88650,2014,Police (LAPD),4301,1848754738,Police Officer I,Full Time,$23.91 ,"$49,924.08 ",$0.00 ,"$3,825.60 ","$4,399.44 ",,,,,,
51283,2013,Water And Power (DWP),,19984416,Maintenance Construction Helper,Full Time,,"$86,652.00 ","$34,702.78 ","$25,154.77 ","$19,412.40 ",,,,,,
117555,2015,Airports (LAWA),0101,2597845932,Airport Guide I,Part Time,$20.70 ,"$43,221.60 ","$8,536.77 ","$10,051.86 ","$9,845.85 ",,,,,,
117556,2015,Airports (LAWA),0101,3097657098,Airport Guide I,Part Time,$20.70 ,"$43,221.60 ","$8,856.90 ","$9,752.70 ","$9,856.20 ",,,,,,
117557,2015,Airports (LAWA),0101,2634363221,Airport Guide I,Part Time,$20.70 ,"$43,221.60 ","$8,712.42 ","$9,895.53 ","$9,856.20 ",,,,,,
117559,2015,Airports (LAWA),0101,1626530689,Airport Guide I,Part Time,$20.70 ,"$43,221.60 ","$8,857.14 ","$9,649.20 ","$9,786.34 ",,,,,,
117563,2015,Airports (LAWA),0101,1780039674,Airport Guide I,Part Time,$20.70 ,"$43,221.60 ","$8,964.66 ","$10,042.50 ","$9,818.42 ",,,,,,
14980,2013,Housing And Community Investment Department,3916,2783569901,Management Analyst II,Full Time,$41.73 ,"$87,132.24 ","$18,379.68 ","$22,635.46 ","$19,980.80 ",,,,,,
79879,2014,Police (LAPD),4302,2033065994,Criminalist II,Full Time,$52.90 ,"$110,455.20 ","$25,413.00 ","$29,823.07 ","$25,413.00 ",,,,,,
113078,2014,Water And Power (DWP),,2203755257,Senior Storekeeper,Full Time,,"$84,626.64 ",$0.00 ,$0.00 ,$0.00 ,,,,,,
63148,2014,City Attorney,1201,1368814043,Legal Secretary II,Full Time,$34.55 ,"$72,147.45 ","$14,872.55 ","$18,739.71 ","$15,314.60 ",,,,,,
77836,2014,Police (LAPD),4301,2646004737,Police Detective II,Full Time,$54.75 ,"$114,318.00 ","$31,093.98 ","$30,685.00 ","$28,672.64 ",,,,,,
45510,2013,Transportation (LADOT),8501,3540204274,Traffic Officer II,Full Time,$28.92 ,"$60,393.57 ","$15,852.23 ","$20,288.42 ","$17,580.53 ",,,,,,
91323,2014,Public Works - Sanitation,7028,854075779,Refuse Collection Truck Operator II,Full Time,$35.30 ,"$73,707.18 ","$20,628.59 ","$23,180.59 ","$18,086.14 ",,,,,,
60407,2014,Airports (LAWA),0101,7106960,Custodian - Airports,Full Time,$22.33 ,"$46,629.22 ","$12,109.67 ","$13,073.90 ","$11,594.63 ",,,,,,
3894,2013,Animal Services,0201,3090653110,Animal Care Technician,Full Time,$25.57 ,"$53,399.56 ","$12,103.75 ","$13,627.42 ","$12,237.29 ",,,,,,
85642,2014,Police (LAPD),4302,1238375457,Senior Detention Officer,Full Time,$38.06 ,"$79,469.80 ","$18,482.81 ","$21,743.74 ","$18,608.92 ",,,,,,
109477,2014,Water And Power (DWP),,607174246,Building Repairer,Full Time,,"$84,856.32 ","$25,630.86 ","$23,328.58 ","$25,431.76 ",,,,,,
72736,2014,Library,3501,1229187543,Librarian II,Full Time,$41.39 ,"$86,432.24 ","$19,684.41 ","$23,181.06 ","$19,869.48 ",,,,,,
109835,2014,Water And Power (DWP),,3980819881,Maintenance Construction Helper,Full Time,,"$74,875.68 ","$25,839.78 ","$23,315.05 ","$22,241.82 ",,,,,,
63231,2014,City Attorney,1202,1050162690,Deputy City Attorney I,Full Time,$39.30 ,"$82,058.40 ",$0.00 ,"$12,576.00 ","$19,014.00 ",,,,,,
65193,2014,Fire (LAFD),3001,1560770314,Fire Captain III,Full Time,$63.58 ,"$132,744.60 ","$70,747.68 ","$68,784.59 ","$56,550.54 ",,,,,,
8341,2013,Emergency Management,1301,2056357056,Emergency Preparedness Coordinator I,Full Time,$49.24 ,"$102,813.12 ","$22,896.72 ","$26,001.36 ","$23,576.80 ",,,,,,
9555,2013,Fire (LAFD),3001,2524611958,Firefighter III,Full Time,$38.24 ,"$79,854.81 ","$39,622.26 ","$44,229.32 ","$33,564.69 ",,,,,,
49545,2013,Water And Power (DWP),,123664542,Security Officer,Full Time,,"$63,078.48 ","$33,246.45 ","$34,989.85 ","$28,209.17 ",,,,,,
78587,2014,Police (LAPD),4301,1785905713,Police Sergeant I,Full Time,$55.80 ,"$116,510.40 ","$25,587.44 ","$30,648.00 ","$29,212.15 ",,,,,,
18731,2013,Personnel,2001,1047089180,Senior Personnel Analyst I,Full Time,$51.33 ,"$107,177.04 ","$21,695.71 ","$22,250.80 ","$24,170.00 ",,,,,,
